image,x,y
000_0.jpg,1765.2227,1447.0387
000_0.jpg,1687.4985,1452.1224
000_0.jpg,1609.6162,1457.1047
000_0.jpg,1531.634,1462.1605
000_0.jpg,1453.5742,1467.3904
000_0.jpg,1375.2781,1472.6096
000_0.jpg,1296.9056,1477.8013
000_0.jpg,1218.4517,1483.1366
000_0.jpg,1139.9207,1488.3271
000_0.jpg,1061.2311,1493.6565
000_0.jpg,982.6034,1498.8969
000_0.jpg,903.8651,1503.9758
000_0.jpg,825.0922,1509.4266
000_0.jpg,746.3415,1514.7273
000_0.jpg,1760.1696,1369.2338
000_0.jpg,1682.4579,1374.2273
000_0.jpg,1604.597,1379.2047
000_0.jpg,1526.6173,1384.2948
000_0.jpg,1448.5127,1389.3531
000_0.jpg,1370.281,1394.5894
000_0.jpg,1291.9149,1399.7659
000_0.jpg,1213.4797,1404.9899
000_0.jpg,1134.9819,1410.2217
000_0.jpg,1056.3276,1415.5155
000_0.jpg,977.6975,1420.6548
000_0.jpg,899.02325,1425.797
000_0.jpg,820.27454,1431.0934
000_0.jpg,741.51886,1436.3497
000_0.jpg,1754.9275,1291.4513
000_0.jpg,1677.2959,1296.4034
000_0.jpg,1599.4679,1301.3702
000_0.jpg,1521.4991,1306.4116
000_0.jpg,1443.3997,1311.4288
000_0.jpg,1365.2157,1316.5961
000_0.jpg,1286.8724,1321.7515
000_0.jpg,1208.467,1326.8741
000_0.jpg,1130.0006,1332.0664
000_0.jpg,1051.3514,1337.2476
000_0.jpg,972.8067,1342.3961
000_0.jpg,894.15344,1347.6298
000_0.jpg,815.47546,1352.7661
000_0.jpg,736.7634,1357.9773
000_0.jpg,1749.739,1213.7179
000_0.jpg,1672.0557,1218.6415
000_0.jpg,1594.2919,1223.5905
000_0.jpg,1516.3639,1228.5698
000_0.jpg,1438.3052,1233.51
000_0.jpg,1360.1528,1238.6554
000_0.jpg,1281.849,1243.7639
000_0.jpg,1203.4803,1248.8315
000_0.jpg,1125.055,1253.9753
000_0.jpg,1046.516,1259.0751
000_0.jpg,967.94666,1264.2045
000_0.jpg,889.33344,1269.3815
000_0.jpg,810.6608,1274.5244
000_0.jpg,732.058,1279.6757
000_0.jpg,1744.3947,1136.1171
000_0.jpg,1666.7711,1141.0315
000_0.jpg,1589.0334,1145.9172
000_0.jpg,1511.1677,1150.9192
000_0.jpg,1433.157,1155.7749
000_0.jpg,1355.0245,1160.8684
000_0.jpg,1276.8192,1165.9247
000_0.jpg,1198.4946,1170.9427
000_0.jpg,1120.1034,1176.0388
000_0.jpg,1041.6594,1181.1136
000_0.jpg,963.12775,1186.154
000_0.jpg,884.5815,1191.3079
000_0.jpg,805.99023,1196.3541
000_0.jpg,727.33673,1201.4712
000_0.jpg,1738.875,1058.6346
000_0.jpg,1661.3997,1063.4988
000_0.jpg,1583.7297,1068.3721
000_0.jpg,1505.9175,1073.3246
000_0.jpg,1427.9996,1078.2017
000_0.jpg,1349.9335,1083.2186
000_0.jpg,1271.758,1088.2491
000_0.jpg,1193.5269,1093.2374
000_0.jpg,1115.1897,1098.265
000_0.jpg,1036.7749,1103.2565
000_0.jpg,958.3147,1108.2852
000_0.jpg,879.83746,1113.344
000_0.jpg,801.303,1118.3997
000_0.jpg,722.78595,1123.4277
000_0.jpg,1733.4432,981.31055
000_0.jpg,1656.0046,986.1802
000_0.jpg,1578.3706,990.9725
000_0.jpg,1500.6394,995.9136
000_0.jpg,1422.7833,1000.74225
000_0.jpg,1344.7876,1005.72437
000_0.jpg,1266.6722,1010.69824
000_0.jpg,1188.4905,1015.6122
000_0.jpg,1110.238,1020.5964
000_0.jpg,1031.8951,1025.5378
000_0.jpg,953.50476,1030.5321
000_0.jpg,875.09247,1035.5736
000_0.jpg,796.6349,1040.5322
000_0.jpg,718.15027,1045.5684
000_0.jpg,1727.9412,904.0564
000_0.jpg,1650.5438,908.8718
000_0.jpg,1573.0375,913.6272
000_0.jpg,1495.3605,918.52136
000_0.jpg,1417.5607,923.31287
000_0.jpg,1339.6488,928.23846
000_0.jpg,1261.6156,933.15894
000_0.jpg,1183.5109,938.0196
000_0.jpg,1105.3267,942.9658
000_0.jpg,1027.0573,947.85486
000_0.jpg,948.74347,952.81256
000_0.jpg,870.4017,957.8113
000_0.jpg,791.9993,962.75854
000_0.jpg,713.6249,967.78156
000_0.jpg,1722.4427,826.90283
000_0.jpg,1645.2183,831.7715
000_0.jpg,1567.6543,836.38446
000_0.jpg,1490.0521,841.217
000_0.jpg,1412.3303,845.9719
000_0.jpg,1334.5089,850.81165
000_0.jpg,1256.5438,855.6993
000_0.jpg,1178.5177,860.5
000_0.jpg,1100.4135,865.3992
000_0.jpg,1022.22314,870.2693
000_0.jpg,943.99066,875.1805
000_0.jpg,865.72864,880.17365
000_0.jpg,787.40717,885.13727
000_0.jpg,709.1084,890.1151
000_0.jpg,1716.7921,749.9703
000_0.jpg,1639.5492,754.7072
000_0.jpg,1562.245,759.34753
000_0.jpg,1484.7446,764.1064
000_0.jpg,1407.096,768.81464
000_0.jpg,1329.3463,773.5899
000_0.jpg,1251.4847,778.4129
000_0.jpg,1173.5317,783.1831
000_0.jpg,1095.5227,788.0199
000_0.jpg,1017.42944,792.87427
000_0.jpg,939.2479,797.6893
000_0.jpg,861.126,802.622
000_0.jpg,782.8509,807.5928
000_0.jpg,704.6626,812.51935
001_0.jpg,1718.8346,1475.6633
001_0.jpg,1641.8906,1476.8723
001_0.jpg,1566.1901,1477.9911
001_0.jpg,1491.4446,1479.1133
001_0.jpg,1417.8906,1480.4631
001_0.jpg,1345.6584,1481.674
001_0.jpg,1274.1337,1482.8718
001_0.jpg,1204.0525,1484.2141
001_0.jpg,1134.6433,1485.3933
001_0.jpg,1066.9232,1486.6407
001_0.jpg,999.49603,1487.8483
001_0.jpg,933.8129,1488.8505
001_0.jpg,868.79144,1490.1305
001_0.jpg,804.73535,1491.3994
001_0.jpg,1715.7913,1393.0145
001_0.jpg,1638.8297,1394.8533
001_0.jpg,1563.1417,1396.6508
001_0.jpg,1488.4092,1398.5157
001_0.jpg,1414.9214,1400.3203
001_0.jpg,1342.6605,1402.2766
001_0.jpg,1271.2926,1404.1355
001_0.jpg,1201.1908,1405.991
001_0.jpg,1131.9438,1407.8907
001_0.jpg,1063.979,1409.6888
001_0.jpg,997.0123,1411.4069
001_0.jpg,931.1034,1413.1007
001_0.jpg,866.16895,1414.9049
001_0.jpg,802.1885,1416.632
001_0.jpg,1712.6772,1310.3983
001_0.jpg,1635.6608,1312.9788
001_0.jpg,1559.941,1315.4204
001_0.jpg,1485.3865,1317.9066
001_0.jpg,1411.9099,1320.36
001_0.jpg,1339.6141,1322.916
001_0.jpg,1268.4298,1325.4125
001_0.jpg,1198.3066,1327.8547
001_0.jpg,1129.2351,1330.2794
001_0.jpg,1061.126,1332.6755
001_0.jpg,994.3494,1334.998
001_0.jpg,928.48645,1337.3804
001_0.jpg,863.63525,1339.6309
001_0.jpg,799.7751,1341.9397
001_0.jpg,1709.2953,1227.876
001_0.jpg,1632.4473,1231.0663
001_0.jpg,1556.7968,1234.2501
001_0.jpg,1482.3171,1237.3726
001_0.jpg,1408.8921,1240.457
001_0.jpg,1336.6957,1243.6254
001_0.jpg,1265.5288,1246.771
